"統計名：","市区町村データ 基礎データ（オリジナル）"
"表番号：","0000020102"
"表題：","Ｂ　自然環境"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/Ｂ　自然環境 コード","B1101","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103"
"調査年 コード","調査年","地域 コード","地域","/Ｂ　自然環境","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】"
"2014100000","2014年度","01552","北海道 佐呂間町","","40,494","40,494","12,702","5,422","22,347","22,318","29","147,183,260","4,216,911"
"2014100000","2014年度","01555","北海道 遠軽町","","133,245","133,245","19,995","0","113,142","113,052","90","238,362,279","7,380,328"
"2014100000","2014年度","01559","北海道 湧別町","","50,579","50,579","16,604","4,490","29,463","27,319","2,144","284,964,356","5,517,955"
"2014100000","2014年度","01560","北海道 滝上町","","76,689","76,689","9,546","0","67,120","67,077","43","128,055,724","1,058,929"
"2014100000","2014年度","01561","北海道 興部町","","36,254","36,254","8,141","0","28,615","26,105","2,510","199,508,648","1,756,338"
"2014100000","2014年度","01562","北海道 西興部村","","30,808","30,808","3,298","0","27,498","27,496","2","54,747,360","430,904"
"2014100000","2014年度","01563","北海道 雄武町","","63,686","63,686","15,742","0","47,982","47,365","617","226,786,803","2,692,971"
"2014100000","2014年度","01564","北海道 大空町","","34,366","34,366","18,960","1,224","13,779","13,740","39","240,934,778","4,353,299"
"2014100000","2014年度","01571","北海道 豊浦町","","23,357","23,357","4,207","0","19,262","17,886","1,376","149,086,576","1,515,446"
"2014100000","2014年度","01575","北海道 壮瞥町","","20,501","20,501","3,438","3,134","13,943","12,924","1,019","78,485,960","1,281,940"
"2014100000","2014年度","01578","北海道 白老町","","42,564","42,564","7,327","470","34,655","32,642","2,013","108,055,939","8,618,529"
"2014100000","2014年度","01581","北海道 厚真町","","40,461","40,461","9,838","0","30,553","28,352","2,201","183,973,126","3,968,499"
"2014100000","2014年度","01584","北海道 洞爺湖町","","18,081","18,081","6,054","3,938","8,046","7,579","467","102,203,161","3,499,680"
"2014100000","2014年度","01585","北海道 安平町","","23,716","23,716","11,580","0","11,973","10,054","1,919","162,181,234","5,479,501"
"2014100000","2014年度","01586","北海道 むかわ町","","71,136","71,136","13,774","0","57,240","55,911","1,329","229,123,114","4,644,763"
"2014100000","2014年度","01601","北海道 日高町","","99,211","99,211","23,030","0","76,354","75,794","560","257,203,593","7,493,305"
"2014100000","2014年度","01602","北海道 平取町","","74,309","74,309","12,965","0","61,289","60,918","371","162,548,252","2,343,878"
"2014100000","2014年度","01604","北海道 新冠町","","58,581","58,581","14,611","0","43,949","43,117","832","114,151,579","3,605,492"
"2014100000","2014年度","01607","北海道 浦河町","","69,426","69,426","12,658","0","56,677","56,469","208","178,845,685","5,342,070"
