"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年06月21日"

"NA","欠測値"

"","","","","/項目 コード","A1101","","A1301","","A1302","","A1303","","E1101","","E2101","","E3101","","E4101","","I5101","","#A05101","","#A05302","","#A05303","","#F01201","","#F01202","","#F01203",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_15歳未満人口【人】","注釈","A1302_15～64歳人口【人】","注釈","A1303_65歳以上人口【人】","注釈","E1101_幼稚園数【園】","注釈","E2101_小学校数【校】","注釈","E3101_中学校数【校】","注釈","E4101_高等学校数【校】","注釈","I5101_病院数【施設】","注釈","#A05101_人口増減率【％】","注釈","#A05302_転入率（日本人移動者）【％】","注釈","#A05303_転出率（日本人移動者）【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#F01202_第2次産業就業者比率【％】","注釈","#F01203_第3次産業就業者比率【％】","注釈"
"2015100000","2015年度","01486","北海道 遠別町","","2,806","","296","","1,447","","1,063","","0","","1","","1","","1","","1","","-9.01","","2.35","","3.85","","29.95","","16.00","","52.61",""
"2015100000","2015年度","01487","北海道 天塩町","","3,243","","364","","1,830","","1,049","","0","","2","","2","","1","","1","","-14.21","","5.18","","6.11","","24.44","","16.48","","58.86",""
"2015100000","2015年度","01511","北海道 猿払村","","2,684","","416","","1,656","","612","","0","","5","","1","","0","","1","","-4.99","","3.84","","4.69","","34.76","","24.94","","40.24",""
"2015100000","2015年度","01512","北海道 浜頓別町","","3,881","","416","","2,218","","1,246","","0","","2","","1","","1","","1","","-6.89","","4.61","","5.82","","18.80","","24.67","","55.57",""
"2015100000","2015年度","01513","北海道 中頓別町","","1,757","","158","","918","","680","","0","","1","","1","","0","","1","","-10.99","","4.38","","6.32","","17.08","","12.70","","65.39",""
"2015100000","2015年度","01514","北海道 枝幸町","","8,437","","990","","4,729","","2,717","","1","","9","","3","","1","","1","","-7.54","","3.12","","4.02","","24.99","","25.45","","49.40",""
"2015100000","2015年度","01516","北海道 豊富町","","4,054","","477","","2,352","","1,224","","0","","2","","2","","1","","1","","-7.40","","3.90","","5.08","","25.23","","14.72","","59.60",""
"2015100000","2015年度","01517","北海道 礼文町","","2,773","","269","","1,561","","943","","0","","4","","2","","1","","0","","-9.91","","5.45","","6.06","","36.26","","12.51","","51.11",""
"2015100000","2015年度","01518","北海道 利尻町","","2,303","","217","","1,211","","875","","0","","2","","2","","1","","1","","-11.08","","5.04","","4.73","","31.06","","12.72","","56.22",""
"2015100000","2015年度","01519","北海道 利尻富士町","","2,787","","340","","1,447","","1,000","","0","","2","","2","","0","","0","","-8.23","","3.48","","5.06","","28.41","","16.24","","54.91",""
